issn,lat,long,place
0356-0724,60.1666277,24.938466,Helsinki
0356-0724,60.1666277,24.9435079,Helsinki
0356-0724,60.170014,24.938466,Helsinki
0356-0724,60.170014,24.9435079,Helsinki
0356-1844,63.0957722,21.6159187,Vaasa
0356-2751,60.9820081,24.4586360218624,Hämeenlinna
0358-6294,60.3953913,25.6604862,Porvoo
0785-398X,60.449325,22.259231,Turku
0785-398X,60.449325,22.2670522,Turku
0785-398X,60.4517531,22.259231,Turku
0785-398X,60.4517531,22.2670522,Turku
1457-425X,62.8924601,27.6781839,Kuopio
1457-4268,62.8924601,27.6781839,Kuopio
1457-4276,61.4867236,21.7910016,Pori
1457-4284,61.4867236,21.7910016,Pori
1457-4292,61.4867236,21.7910016,Pori
1457-4306,60.3953913,25.6604862,Porvoo
1457-4314,60.1666277,24.938466,Helsinki
1457-4314,60.1666277,24.9435079,Helsinki
1457-4314,60.170014,24.938466,Helsinki
1457-4314,60.170014,24.9435079,Helsinki
1457-4330,60.1666277,24.938466,Helsinki
1457-4330,60.1666277,24.9435079,Helsinki
1457-4330,60.170014,24.938466,Helsinki
1457-4330,60.170014,24.9435079,Helsinki
1457-4349,60.1666277,24.938466,Helsinki
1457-4349,60.1666277,24.9435079,Helsinki
1457-4349,60.170014,24.938466,Helsinki
1457-4349,60.170014,24.9435079,Helsinki
1457-4357,60.1666277,24.938466,Helsinki
1457-4357,60.1666277,24.9435079,Helsinki
1457-4357,60.170014,24.938466,Helsinki
1457-4357,60.170014,24.9435079,Helsinki
1457-4365,60.1666277,24.938466,Helsinki
1457-4365,60.1666277,24.9435079,Helsinki
1457-4365,60.170014,24.938466,Helsinki
1457-4365,60.170014,24.9435079,Helsinki
1457-4373,60.1666277,24.938466,Helsinki
1457-4373,60.1666277,24.9435079,Helsinki
1457-4373,60.170014,24.938466,Helsinki
1457-4373,60.170014,24.9435079,Helsinki
1457-4381,60.1666277,24.938466,Helsinki
1457-4381,60.1666277,24.9435079,Helsinki
1457-4381,60.170014,24.938466,Helsinki
1457-4381,60.170014,24.9435079,Helsinki
1457-439X,60.1666277,24.938466,Helsinki
1457-439X,60.1666277,24.9435079,Helsinki
1457-439X,60.170014,24.938466,Helsinki
1457-439X,60.170014,24.9435079,Helsinki
1457-4403,60.9820081,24.4586360218624,Hämeenlinna
1457-4411,63.0957722,21.6159187,Vaasa
1457-442X,63.0957722,21.6159187,Vaasa
1457-4446,60.7092836,28.7442587,Viipuri
1457-4446,60.7092836,28.757157,Viipuri
1457-4446,60.713953,28.7442587,Viipuri
1457-4446,60.713953,28.757157,Viipuri
1457-4454,62.8924601,27.6781839,Kuopio
1457-4462,62.8924601,27.6781839,Kuopio
1457-4497,62.8924601,27.6781839,Kuopio
1457-4500,62.8924601,27.6781839,Kuopio
1457-4519,60.7092836,28.7442587,Viipuri
1457-4519,60.7092836,28.757157,Viipuri
1457-4519,60.713953,28.7442587,Viipuri
1457-4519,60.713953,28.757157,Viipuri
1457-4527,65.012615,25.471453,Oulu
1457-4535,60.1666277,24.938466,Helsinki
1457-4535,60.1666277,24.9435079,Helsinki
