paper,date,issn,textid,lbl,no,url
Lappeenrannan Uutiset,,1458-2317,,(Läh.) Valitusvirsi Adamille. Tammikuun 25 p:nä 1887. Se on kunto kummallinen Yksi yhdeksästä,8,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44663
Lappeenrannan Uutiset,,1458-2317,,(Läh.) Ylistysruno maskisvirren laulajalle 18 2/1 87. Laulun laittoi tuo mokoma Leimu,6,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44891
Lappeenrannan Uutiset,,1458-2317,,"Ankaran talven mentyä, Kevään tultua. Nyt talvi taas on mennyt J-n.",39,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=65744
Lappeenrannan Uutiset,,1458-2317,,"Illukka. I.: Oma katumukseni. 18 6/VIII 89. Oi mua polonen, oivoivoi",61,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=66141
Lappeenrannan Uutiset,,1458-2317,,Joutsenosta. Eipä ole ennen kuultu A. Kou,22,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45137
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: (Suomenniemeltä. Maamiehen talvilaulu Suloinen on Suomen maa )",101,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44902
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Kynähän kykenevämpi",6,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45240
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Maamiehen kesälaulu tehty 1875. Tutki aina Luojan töitä",58,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44860
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Oi Suomi, sulo sorrettu",67,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44859
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Suomalaisen sukkeluuden",60,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=98034
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhunkirje Suomenniemeltä 18 26/III 89. Toinen runo. Minä ihan ensimäisen",26,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=16322
