Paper	Date	ISSN	TextblockID	Label	URL
Turun Wiikko-Sanomat	10/6/1820	1457-4888	P1_TB00002	Runo Viinasta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415181?page=1&ocr=true
Turun Wiikko-Sanomat	12/2/1820	1457-4888	P2_TB00003	No 399 Suomalaisesta Virsikirjasta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415167?page=3&ocr=true
Turun Wiikko-Sanomat	12/2/1820	1457-4888	P3_TB00004	No 399 Suomalaisesta Virsikirjasta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415167?page=3&ocr=true
Turun Wiikko-Sanomat	12/2/1820	1457-4888	P4_TB00007	No 399 Suomalaisesta Virsikirjasta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415167?page=4&ocr=true
Turun Wiikko-Sanomat	11/3/1820	1457-4888	P4_TB00002	(ei otsikkoa)	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415166?page=4&ocr=true
Turun Wiikko-Sanomat	1/4/1820	1457-4888	P3_TB00002	Jumalan pyhästä laista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415183?page=3&ocr=true
Turun Wiikko-Sanomat	1/4/1820	1457-4888	P4_TB00003	Jumalan pyhästä laista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415183?page=4&ocr=true
Turun Wiikko-Sanomat	1/4/1820	1457-4888	P5_TB00001	Jumalan pyhästä laista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415183?page=5&ocr=true
Turun Wiikko-Sanomat	1/4/1820	1457-4888	P5_TB00002	Jumalan pyhästä laista	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415183?page=5&ocr=true
Turun Wiikko-Sanomat	9/6/1821	1457-4888	P2_TB00001	Wanha keväillä tehty hää-runo. Kevät keikkuen tuleepi	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415482?page=2&ocr=true
Turun Wiikko-Sanomat	1/9/1821	1457-4888	P1_TB00007	Uusi virsi	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415479?page=1&ocr=true
Turun Wiikko-Sanomat	1/9/1821	1457-4888	P2_TB00006	Uusi virsi	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415479?page=2&ocr=true
Turun Wiikko-Sanomat	13/01/1821	1457-4888	P2_TB00004	Runo runojen teosta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415497?page=2
Turun Wiikko-Sanomat	13/01/1821	1457-4888	P2_TB00005	Runo runojen teosta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415497?page=2
Turun Wiikko-Sanomat	13/01/1821	1457-4888	P3_TB00001	Runo runojen teosta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415497?page=3&ocr=true
Turun Wiikko-Sanomat	13/01/1821	1457-4888	P3_TB00004	Runo runojen teosta	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415497?page=3&ocr=true
Sanan Saattaja Wiipurista	4/1/1840	1457-4586	P1_TB00005	Uutena-vuotena	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415722?page=1
Sanan Saattaja Wiipurista	4/1/1840	1457-4586	P1_TB00006	Uutena-vuotena	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415722?page=1
Sanan Saattaja Wiipurista	4/1/1840	1457-4586	P1_TB00007	Uutena-vuotena	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415722?page=1
Sanan Saattaja Wiipurista	12/12/1840	1457-4586	P1_TB00002	Nuija-sota Suomessa 1597	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415743/articles/609721
Sanan Saattaja Wiipurista	12/12/1840	1457-4586	P2_TB00001	Nuija-sota Suomessa 1597	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415743?page=2
Sanan Saattaja Wiipurista	12/12/1840	1457-4586	P3_TB00001	Nuija-sota Suomessa 1597	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415743?page=3
Sanan Saattaja Wiipurista	12/12/1840	1457-4586	P4_TB00001	Nuija-sota Suomessa 1597	http://digi.kansalliskirjasto.fi/sanomalehti/binding/415743?page=4
Mehiläinen	1/2/1840	fk01442	P1_TB00006	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P1_TB00007	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P1_TB00008	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P1_TB00009	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P1_TB00010	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P1_TB00011	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P1_TB00012	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=1
Mehiläinen	1/2/1840	fk01442	P2_TB00002	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00003	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00004	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00005	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00006	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00007	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00008	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00009	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00010	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00011	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P2_TB00012	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=2
Mehiläinen	1/2/1840	fk01442	P3_TB00002	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00003	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00004	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00005	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00006	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00007	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00008	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00009	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00010	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00011	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P3_TB00012	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=3
Mehiläinen	1/2/1840	fk01442	P4_TB00003	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=4
Mehiläinen	1/2/1840	fk01442	P5_TB00002	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=5
Mehiläinen	1/2/1840	fk01442	P6_TB00003	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=6
Mehiläinen	1/2/1840	fk01442	P7_TB00002	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00003	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00004	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00005	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00006	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00007	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00008	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00009	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00010	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00011	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00013	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00014	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00015	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/2/1840	fk01442	P7_TB00016	Kysymys mehiläisestä	http://digi.kansalliskirjasto.fi/aikakausi/binding/500282?page=7
Mehiläinen	1/5/1840	fk01442	P1_TB00005	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=1
Mehiläinen	1/5/1840	fk01442	P1_TB00006	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=1
Mehiläinen	1/5/1840	fk01442	P1_TB00007	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=1
Mehiläinen	1/5/1840	fk01442	P1_TB00008	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=1
Mehiläinen	1/5/1840	fk01442	P1_TB00009	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=1
Mehiläinen	1/5/1840	fk01442	P2_TB00002	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=2
Mehiläinen	1/5/1840	fk01442	P2_TB00003	Onneton naimamatka	http://digi.kansalliskirjasto.fi/aikakausi/binding/500582?page=2
Suometar	6/5/1853	1457-4705	P1_TB00005	Mimmin päätös	http://digi.kansalliskirjasto.fi/sanomalehti/binding/424359?page=1
Suometar	6/5/1853	1457-4705	P1_TB00008	Mimmin päätös	http://digi.kansalliskirjasto.fi/sanomalehti/binding/424359?page=1
Suometar	6/5/1853	1457-4705	P1_TB00007	Mimmin päätös	http://digi.kansalliskirjasto.fi/sanomalehti/binding/424359?page=1
Suometar	3/5/1850	1457-4705	P4_TB00011	(religious poetry fragm.)	http://digi.kansalliskirjasto.fi/sanomalehti/binding/425090?page=4
Aamurusko	24/12/1859	1457-4594	P1_TB00009	Ystävyys	http://digi.kansalliskirjasto.fi/aikakausi/binding/968648?page=1
Aamurusko	24/12/1859	1457-4594	P1_TB00010	Ystävyys	http://digi.kansalliskirjasto.fi/aikakausi/binding/968648?page=1
Aamurusko	24/12/1859	1457-4594	P1_TB00011	Ystävyys	http://digi.kansalliskirjasto.fi/aikakausi/binding/968648?page=1
Aamurusko	24/12/1859	1457-4594	P1_TB00012	Ystävyys	http://digi.kansalliskirjasto.fi/aikakausi/binding/968648?page=1
Sanomia Turusta	22/05/1863	1457-4616	P2_TB00001	"Oisin niin	 niin näin tekisin "	http://digi.kansalliskirjasto.fi/sanomalehti/binding/485777?page=2
