Year	Poems
1820	26
1821	6
1822	5
1823	1
1824	4
1825	2
1826	2
1827	7
1828	0
1829	43
1830	31
1831	58
1832	23
1833	38
1834	35
1835	20
1836	24
1837	0
1838	0
1839	0
1840	43
1841	9
1842	0
1843	0
1844	21
1845	15
1846	12
1847	31
1848	10
1849	9
1850	15
1851	14
1852	28
1853	28
1854	69
1855	18
1856	14
1857	62
1858	49
1859	75
1860	53
1861	67
1862	68
1863	88
1864	73
1865	106
1866	93
1867	113
1868	96
1869	98
1870	118
1871	114
1872	90
1873	121
1874	99
1875	105
1876	144
1877	114
1878	154
1879	194
1880	248
1881	184
1882	176
1883	182
1884	141
1885	111
1886	141
1887	169
1888	142
1889	185
1890	231
